 ID    x    y  bsize          mjd    zpt  fluxADU  flux_err  X2norm  Npix  Nmask         Jyas2    Jyas2_err     SB   SB_err                                                                fitsfile   skip  imID filter CONVOL00 PHOTNORM  KSUM00  FSIG00  FSCAT00  FWHM  M5SIGMA  SKYADU   muJyas2  muJyas2_err  im_expnum  g_ixs_flag      peak_loc good_image      new_mjd  new_muJyas2  new_muJyas2_err
  2 2047 2300      3 56418.971400 30.494    12.41      3.92    0.86     9      9  3.924000e-07 1.238000e-07 24.916 0.342708  ec0915.130506.204626_ooi_g_v1_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000    23      g TEMPLATE        t  1.2265   1.068    0.105 5.309   23.266  1125.0  0.392400       0.1238     204626        True  60517.761077       True 56192.412871     1.134485         0.192744
  1 2072 2281      3 56487.982626 30.494    -2.00      4.84    0.88     9      9 -6.310000e-08 1.531000e-07    NaN      NaN     ec0915.130714.218754_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000    27      g TEMPLATE        t  1.2301   1.350    0.103 4.732   23.268  1307.0 -0.063100       0.1531     218754        True  60557.825434       True 56200.944490     0.225055         0.260112
  1 2072 2281      3 56488.982674 30.494     8.82      4.96    1.21     9      9  2.787000e-07 1.566000e-07    NaN      NaN     ec0915.130715.219198_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000    31      g TEMPLATE        t  1.2281   1.339    0.103 4.401   23.184  1684.0  0.278700       0.1566     219198        True  60557.825434       True 56201.944538     0.805762         0.266058
  1 2072 2281      3 56489.007577 30.494    -4.64      5.09    1.37     9      9 -1.466000e-07 1.609000e-07    NaN      NaN     ec0915.130716.219210_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000    35      g TEMPLATE        t  1.2033   1.326    0.089 4.635   23.072  1738.0 -0.146600       0.1609     219210        True  60557.825434       True 56201.969441     0.083192         0.273364
  3 2057 2298      3 56341.278127 30.494    -2.34      3.76    2.21     9      9 -7.385000e-08 1.189000e-07    NaN      NaN     ec0915.130218.178882_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     7      g TEMPLATE        t  1.2445   1.383    0.123 4.517   23.591   815.0 -0.073850       0.1189     178882        True  60431.769287       True 56203.999019     0.143826         0.206480
  3 2057 2298      3 56341.283970 30.494    -2.15      3.50    1.03     9      9 -6.794000e-08 1.105000e-07    NaN      NaN     ec0915.130218.178883_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     8      g TEMPLATE        t  1.2422   1.280    0.052 5.803   23.316   814.0 -0.067940       0.1105     178883        True  60431.769287       True 56204.004862     0.154089         0.191893
  3 2057 2298      3 56341.286605 30.494     4.77      3.89    0.58     9      9  1.506000e-07 1.230000e-07    NaN      NaN     ec0915.130218.178884_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     9      g TEMPLATE        t  1.2456   1.339    0.088 5.206   23.391   833.0  0.150600       0.1230     178884        True  60431.769287       True 56204.007497     0.533603         0.213600
  5 2046 2311      3 56341.278127 30.494    -0.05      3.98    0.64     9      9 -1.499000e-09 1.258000e-07    NaN      NaN     ec0915.130218.178882_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     7      g TEMPLATE        t  1.2445   1.383    0.123 4.517   23.591   815.0 -0.001499       0.1258     178882        True   60410.27134       True 56210.718975     0.354335         0.205461
  5 2046 2311      3 56341.283970 30.494    -2.65      3.62    1.50     9      9 -8.374000e-08 1.145000e-07    NaN      NaN     ec0915.130218.178883_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     8      g TEMPLATE        t  1.2422   1.280    0.052 5.803   23.316   814.0 -0.083740       0.1145     178883        True   60410.27134       True 56210.724818     0.220016         0.187006
  5 2046 2311      3 56341.286605 30.494     4.08      3.85    0.95     9      9  1.289000e-07 1.217000e-07    NaN      NaN     ec0915.130218.178884_ooi_g_N26_160306.523730_ooi_g_v1_N26.diff.fits 0x0000     9      g TEMPLATE        t  1.2456   1.339    0.088 5.206   23.391   833.0  0.128900       0.1217     178884        True   60410.27134       True 56210.727453     0.567308         0.198765
