Teff,ln_sigma_mgb,ln_sigma_caii
5444.561453732044,-0.3541562279692335,-0.2936770203631403
5441.00726719828,-0.34149677253664307,-0.33155481802443615
5421.786310288549,-0.3273814433730878,-0.3481711363517136
5449.123566503863,-0.2939622055453027,-0.3014902620557072
5440.5023748643835,-0.34319889301593237,-0.29887354360244806
5428.021874072475,-0.30819556387854746,-0.31376776719057076
5431.121894466621,-0.3612324886574195,-0.2766626644612898
5415.74926190545,-0.31614564784753746,-0.3422022577767903
5435.626989680101,-0.34533704373609186,-0.28553152673936544
5436.925292640092,-0.35401557371712816,-0.30376768825369854
5426.859959053635,-0.2965662734350982,-0.3310393422150906
5408.258762338116,-0.3521679284635964,-0.33770907476881884
5413.925995705075,-0.3242971228994038,-0.3493646364513852
6629.247070772299,-0.22467728621961625,-0.27675746915794697
6633.2659498464955,-0.22706354218345676,-0.2409925067219427
5422.549341164809,-0.3544203578723765,-0.33182395562165695
5415.198593026994,-0.3245899386569048,-0.3476663888255255
6632.519812093384,-0.23510984080382313,-0.22660677317433967
5437.903426966528,-0.3614530741917632,-0.3265274801468318
6640.112568170702,-0.22513299315369736,-0.2714533271776128
6626.847932775404,-0.22847895139379473,-0.25200892031418154
5444.719905236011,-0.32523244947079893,-0.2907111616363667
5415.5601637729405,-0.31606960352546354,-0.3396607204254594
5426.532760663676,-0.35872397830605335,-0.32341876113195867
5445.869384160816,-0.3204626743639074,-0.273646177109953
5441.829066809574,-0.3468710401883993,-0.32989368927660784
6609.752742676945,-0.23597422661760778,-0.2438271482205271
5412.473093631711,-0.31210553834515264,-0.33681540629140394
6619.558351188138,-0.22356220049207323,-0.25506920694232454
5422.71086854155,-0.34208742621922666,-0.3742753374082889
5449.230336800751,-0.33545673167110035,-0.323021841116316
5408.9198323511655,-0.31288383683667076,-0.2930723350667592
5412.467368497247,-0.32524247643768056,-0.3604191028765584
5422.949183264983,-0.32053791974130436,-0.28641764140302656
5438.071351394733,-0.36615773805007173,-0.31316900636463657
6635.030974741156,-0.22516548800909492,-0.2504663031859524
5415.543804133913,-0.34095446691344145,-0.3250111369668616
5416.828275974239,-0.31702834297577565,-0.31203055972844307
5421.293039163058,-0.3536366661912269,-0.3408957303121041
5425.260875778176,-0.30176387454411846,-0.32523594957240093
6634.901034916249,-0.2253420035024871,-0.23281874570508113
5420.666955660651,-0.297971850127497,-0.3073960683183192
5426.974476445623,-0.31487152050381606,-0.3453853875681044
5443.8097164224555,-0.32462077842301423,-0.2980477077384124
5411.953236117942,-0.27849313191402514,-0.31063232356426607
5411.121317820724,-0.3144194650047294,-0.3456475657382505
5415.5154432290055,-0.3160395128377884,-0.3296388726197063
5427.632160889507,-0.3523798574557654,-0.3406579779619791
5429.6902325930505,-0.3475242517507359,-0.33741674943579825
5444.322394743786,-0.33693057129672666,-0.3280547659970737
5432.145493890929,-0.3510517297567562,-0.3407043228777498
5441.527352913607,-0.29724853951156005,-0.30942608769292734
5438.127623902413,-0.3335172463008677,-0.3088742500124724
5432.050821802838,-0.3157644639462138,-0.3025749458508773
5421.643267504766,-0.3405912152327121,-0.28366837165313996
5412.885056493907,-0.3209555574509609,-0.3518290265441325
5435.626989680101,-0.34533704373609186,-0.28553152673936544
5425.248774597406,-0.3595629545479467,-0.2927156005826207
5419.013434628019,-0.32907956317497855,-0.3402202659583469
5413.452161334464,-0.3499217070342402,-0.3362220317751765
