wavelength_A,flux,flux_err
4.81000000e+03,3.36391360e-17,
4.81200000e+03,3.55141857e-17,
4.81400000e+03,3.41321985e-17,
4.81600000e+03,3.99890409e-17,
4.81800000e+03,2.60126531e-17,
4.82000000e+03,2.62679393e-17,
4.82200000e+03,2.92422607e-17,
4.82400000e+03,2.94158231e-17,
4.82600000e+03,3.70100822e-17,
4.82800000e+03,3.77573175e-17,
4.83000000e+03,3.95326952e-17,
4.83200000e+03,3.38913499e-17,
4.83400000e+03,3.22525827e-17,
4.83600000e+03,2.81308608e-17,
4.83800000e+03,3.40799372e-17,
4.84000000e+03,4.21923952e-17,
4.84200000e+03,2.88263609e-17,
4.84400000e+03,2.88814842e-17,
4.84600000e+03,3.68323410e-17,
4.84800000e+03,3.16507129e-17,
4.85000000e+03,3.72699625e-17,
4.85200000e+03,2.88765675e-17,
4.85400000e+03,5.57002315e-17,
4.85600000e+03,1.43641263e-16,
4.85800000e+03,3.57881055e-16,
4.86000000e+03,4.64890433e-16,
4.86200000e+03,4.80920426e-16,
4.86400000e+03,3.11557326e-16,
4.86600000e+03,1.11848874e-16,
4.86800000e+03,2.72669418e-17,
4.87000000e+03,3.06799337e-17,
4.87200000e+03,3.19276496e-17,
4.87400000e+03,3.66223595e-17,
4.87600000e+03,3.22054467e-17,
4.87800000e+03,3.13680884e-17,
4.88000000e+03,2.74577261e-17,
4.88200000e+03,2.57084872e-17,
4.88400000e+03,3.13193377e-17,
4.88600000e+03,2.97870584e-17,
4.88800000e+03,4.44805356e-17,
4.89000000e+03,3.44332525e-17,
4.89200000e+03,4.80115248e-17,
4.89400000e+03,4.84659845e-17,
4.89600000e+03,4.21041119e-17,
4.89800000e+03,5.07322774e-17,
4.90000000e+03,3.87459307e-17,
4.90200000e+03,3.88718044e-17,
4.90400000e+03,4.47200904e-17,
4.90600000e+03,3.64588789e-17,
4.90800000e+03,4.20545506e-17,
4.91000000e+03,3.00555215e-17,
4.91200000e+03,3.17810931e-17,
4.91400000e+03,3.73927856e-17,
4.91600000e+03,2.69392691e-17,
4.91800000e+03,3.26313851e-17,
4.92000000e+03,3.52214994e-17,
4.92200000e+03,4.04287668e-17,
4.92400000e+03,3.83679389e-17,
4.92600000e+03,4.97980133e-17,
4.92800000e+03,4.90365604e-17,
4.93000000e+03,3.35849788e-17,
4.93200000e+03,3.13615967e-17,
4.93400000e+03,3.87264059e-17,
4.93600000e+03,4.09456819e-17,
4.93800000e+03,2.96718619e-17,
4.94000000e+03,3.14297895e-17,
4.94200000e+03,4.79759230e-17,
4.94400000e+03,4.13310455e-17,
4.94600000e+03,4.52520338e-17,
4.94800000e+03,4.19436587e-17,
4.95000000e+03,5.41806378e-17,
4.95200000e+03,5.98795516e-17,
4.95400000e+03,1.32064401e-16,
4.95600000e+03,2.53904452e-16,
4.95800000e+03,3.16074632e-16,
4.96000000e+03,3.00235963e-16,
4.96200000e+03,2.09746388e-16,
4.96400000e+03,9.53363177e-17,
4.96600000e+03,4.07244838e-17,
4.96800000e+03,4.30325858e-17,
4.97000000e+03,4.41780721e-17,
4.97200000e+03,4.47987818e-17,
4.97400000e+03,4.90612931e-17,
4.97600000e+03,3.41931815e-17,
4.97800000e+03,3.53034200e-17,
4.98000000e+03,3.16947023e-17,
4.98200000e+03,3.00902366e-17,
4.98400000e+03,3.81300418e-17,
4.98600000e+03,2.53055229e-17,
4.98800000e+03,3.82291711e-17,
4.99000000e+03,4.06287129e-17,
4.99200000e+03,3.36846540e-17,
4.99400000e+03,2.75774853e-17,
4.99600000e+03,4.07478070e-17,
4.99800000e+03,4.24602463e-17,
5.00000000e+03,1.17797348e-16,
5.00200000e+03,3.45485469e-16,
5.00400000e+03,7.01364297e-16,
5.00600000e+03,9.05056292e-16,
5.00800000e+03,8.16603977e-16,
5.01000000e+03,5.20290729e-16,
5.01200000e+03,1.73029442e-16,
5.01400000e+03,5.92775296e-17,
5.01600000e+03,4.65966291e-17,
5.01800000e+03,5.13743714e-17,
5.02000000e+03,4.61940138e-17,
5.02200000e+03,3.90594255e-17,
5.02400000e+03,3.82523520e-17,
5.02600000e+03,5.14288065e-17,
5.02800000e+03,4.30168164e-17,
5.03000000e+03,3.87217307e-17,
5.03200000e+03,2.66951350e-17,
5.03400000e+03,3.78983849e-17,
5.03600000e+03,3.60626428e-17,
5.03800000e+03,3.84396224e-17,
5.04000000e+03,4.58690046e-17,
5.04200000e+03,4.55021666e-17,
5.04400000e+03,5.32094021e-17,
5.04600000e+03,5.09426592e-17,
5.04800000e+03,4.57137726e-17,
5.05000000e+03,5.39984066e-17,
5.05200000e+03,6.19966178e-17,
