wavelength_A,flux,flux_err
4.35396453e+03,1.13580087e-17,
4.35511075e+03,2.31748942e-17,
4.35625697e+03,3.83573808e-17,
4.35740319e+03,4.60055060e-17,
4.35854942e+03,1.94384152e-17,
4.35969564e+03,1.48963995e-17,
4.36084186e+03,3.29302025e-17,
4.36198808e+03,2.09105345e-18,
4.36313430e+03,3.69585886e-17,
4.36428052e+03,2.63042723e-17,
4.36542674e+03,4.42686508e-18,
4.36657296e+03,2.43839180e-17,
4.36771918e+03,1.40590082e-17,
4.36886540e+03,1.44076863e-17,
4.37001162e+03,2.30911075e-17,
4.37115784e+03,6.78164935e-18,
4.37230406e+03,6.85460337e-18,
4.37345028e+03,5.46911472e-18,
4.37459650e+03,-3.05256819e-18,
4.37574272e+03,-5.04979164e-18,
4.37688894e+03,4.83510974e-18,
4.37803516e+03,3.00953652e-17,
4.37918139e+03,4.44843771e-17,
4.38032761e+03,2.57691369e-19,
4.38147383e+03,-1.09430594e-17,
4.38262005e+03,1.85624756e-17,
4.38376627e+03,3.03922680e-18,
4.38491249e+03,3.24075666e-17,
4.38605871e+03,3.30498988e-17,
4.38720493e+03,2.63413350e-17,
4.38835115e+03,4.24416049e-17,
4.38949737e+03,5.50905531e-17,
4.39064359e+03,3.12797885e-17,
4.39178981e+03,-2.32009314e-18,
4.39293603e+03,3.20676119e-17,
4.39408225e+03,2.60973713e-17,
4.39522847e+03,4.50263069e-18,
4.39637469e+03,3.04908204e-17,
4.39752091e+03,3.27763270e-17,
4.39866713e+03,5.85754840e-18,
4.39981336e+03,3.64304735e-17,
4.40095958e+03,7.07570379e-18,
4.40210580e+03,1.82026917e-17,
4.40325202e+03,1.70722485e-17,
4.40439824e+03,2.36382345e-17,
4.40554446e+03,5.02290505e-17,
4.40669068e+03,2.70805962e-17,
4.40783690e+03,2.54768121e-17,
4.40898312e+03,6.58152830e-18,
4.41012934e+03,8.09729500e-18,
4.41127556e+03,1.37517635e-17,
4.41242178e+03,2.95439798e-17,
4.41356800e+03,5.00010993e-18,
4.41471422e+03,8.61161192e-18,
4.41586044e+03,4.45013376e-17,
4.41700666e+03,2.82882766e-17,
4.41815288e+03,1.62210912e-17,
4.41929911e+03,2.35614936e-17,
4.42044533e+03,1.17805434e-19,
4.42159155e+03,-3.15756698e-18,
4.42273777e+03,3.69746508e-18,
4.42388399e+03,1.90592877e-18,
4.42503021e+03,3.25748788e-17,
4.42617643e+03,3.74152783e-17,
4.42732265e+03,2.52770348e-17,
4.42846887e+03,2.04964040e-17,
4.42961509e+03,7.97761438e-18,
4.43076131e+03,-5.56758520e-18,
4.43190753e+03,1.62301460e-18,
4.43305375e+03,5.75042727e-17,
4.43419997e+03,4.82622466e-17,
4.43534619e+03,3.13129386e-17,
4.43649241e+03,1.67454890e-17,
4.43763863e+03,-1.03712050e-18,
4.43878485e+03,1.68103811e-18,
4.43993108e+03,3.84509051e-17,
4.44107730e+03,8.99424334e-18,
4.44222352e+03,1.30730263e-17,
4.44336974e+03,7.16897783e-17,
4.44451596e+03,3.55534999e-17,
4.44566218e+03,9.51071092e-18,
4.44680840e+03,2.57513699e-17,
4.44795462e+03,2.86435937e-17,
4.44910084e+03,1.26723549e-17,
4.45024706e+03,3.29852563e-17,
4.45139328e+03,2.49253490e-17,
4.45253950e+03,2.22679023e-17,
4.45368572e+03,2.98217801e-17,
4.45483194e+03,2.85595720e-17,
4.45597816e+03,2.97251754e-17,
4.45712438e+03,1.80572535e-17,
4.45827060e+03,4.53043480e-17,
4.45941682e+03,4.48594704e-17,
4.46056305e+03,2.24630689e-17,
4.46170927e+03,2.05091029e-17,
4.46285549e+03,1.05991094e-17,
4.46400171e+03,8.45464861e-18,
4.46514793e+03,1.90539880e-17,
4.46629415e+03,3.78613636e-17,
4.46744037e+03,4.90239310e-17,
4.46858659e+03,1.95938970e-17,
4.46973281e+03,2.95490058e-17,
4.47087903e+03,2.01316140e-17,
4.47202525e+03,3.09275122e-17,
4.47317147e+03,2.60363800e-17,
4.47431769e+03,2.70901733e-17,
4.47546391e+03,4.13464939e-17,
4.47661013e+03,1.51984081e-17,
4.47775635e+03,1.38202243e-17,
4.47890257e+03,-3.42537994e-18,
4.48004879e+03,2.10680569e-17,
4.48119502e+03,3.27868653e-17,
4.48234124e+03,3.32956211e-17,
4.48348746e+03,2.59945925e-17,
4.48463368e+03,3.87521709e-18,
4.48577990e+03,-2.36821065e-18,
4.48692612e+03,-2.03049721e-18,
4.48807234e+03,2.72216951e-17,
4.48921856e+03,3.36586607e-17,
4.49036478e+03,2.72767787e-17,
4.49151100e+03,1.28656058e-17,
4.49265722e+03,3.48566995e-17,
4.49380344e+03,2.66020292e-17,
4.49494966e+03,2.15795044e-17,
